,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
80,加勒比海盗5：死无对证,2017-05-26,118007,35.81335,22,7.2,358281,"['艾斯彭·山德伯格', '乔阿吉姆·罗恩尼']","['约翰尼·德普', '布伦顿·思韦茨', '卡雅·斯考达里奥', '杰弗里·拉什', '哈维尔·巴登', '格什菲·法拉哈尼', '奥兰多·布鲁姆', '凯文·麦克纳利', '凯拉·奈特莉', '斯蒂芬·格拉汉姆', '大卫·文翰', '保罗·麦卡特尼', '马丁·科勒巴', '亚当·布朗', '丹尼·基兰', '马赫什·扎杜', '胡安·卡洛斯·凡希多']","['动作', '奇幻', '冒险']",['美国'],['英语'],129
81,长城,2016-12-16,117311,35.158714,21,4.9,392023,['张艺谋'],"['马特·达蒙', '景甜', '佩德罗·帕斯卡', '刘德华', '威廉·达福', '张涵予', '鹿晗', '彭于晏', '林更新', '郑恺', '黄轩', '陈学冬', '王俊凯', '余心恬', '刘恩佳', '李亨', '李京沐', '纽曼·阿卡', '约翰尼·希科', '皮鲁·埃斯贝克', '李彦']","['动作', '奇幻', '冒险']","['中国大陆', '美国']","['英语', '汉语普通话']",104
82,心花路放,2014-09-30,116958,34.440758,36,7.2,528466,['宁浩'],"['黄渤', '徐峥', '袁泉', '周冬雨', '陶慧', '岳小军', '沈腾', '张俪', '马苏', '刘美含', '王砚辉', '焦俊艳', '郭涛', '李晨', '熊乃瑾', '夏雨', '刘仪伟', '雷佳音', '雍梦婷', '梁浩']","['喜剧', '爱情']",['中国大陆'],"['汉语普通话', '粤语', '云南方言']",118
83,煎饼侠,2015-07-17,116018,32.674587,39,5.8,375091,['大鹏'],"['大鹏', '袁姗姗', '柳岩', '吴君如', '曾志伟', '岳云鹏', '衣云鹤', '梁超', '潘斌龙', '崔志佳', '乔杉', '郭采洁', '邓超', '尚格·云顿', '小沈阳', '宋小宝', '刘小光', '王小利', '陈思诚', '林更新', '陈羽凡', '胡海泉', '韩寒', '陈赫', '郑恺', '包贝尔', '郑伊健', '陈小春', '谢天华', '林晓峰']",['喜剧'],['中国大陆'],"['汉语普通话', '英语', '粤语']",113
84,金刚：骷髅岛,2017-03-24,115892,35.14932,20,6.5,229518,['乔丹·沃格特-罗伯茨'],"['汤姆·希德勒斯顿', '塞缪尔·杰克逊', '布丽·拉尔森', '约翰·C·赖利', '约翰·古德曼', '科里·霍金斯', '约翰·奥提兹', '景甜', '托比·凯贝尔', '杰森·米切尔', '谢伊·惠格姆', '托马斯·曼', '尤金·科德罗', '马克·埃文·杰克逊', '威尔·布里顿', '石原贵雅', '理查德·詹金斯', '艾琳·瑞秋', '罗伯特·泰勒', '詹姆斯·M.康纳', '托马斯·米德蒂奇', '布莱恩·萨卡', '乔恩·奎斯蒂德', '达特·樊', '吴辛惠', '贝丝·肯尼迪', '泰瑞·诺塔里', '莫伊塞斯·阿里亚斯', '拉吉·K.波斯', '丹·格伦伯格', 'Mitchell L. Johnson', '凯文·肯特', '肖恩·麦克布莱德', '萨尔瓦多·梅伦达', '艾琳·莫里亚蒂', '托西克欧尼扎瓦', '尼克·罗宾森']","['动作', '奇幻', '冒险']","['美国', '中国大陆']","['英语', '越南语']",119
85,大黄蜂,2019-01-04,114973,35.910618,11,7.0,370397,['特拉维斯·奈特'],"['海莉·斯坦菲尔德', '小豪尔赫·兰登伯格', '约翰·塞纳', '杰森·德鲁克', '帕梅拉·阿德龙', '斯蒂芬·施耐德', '里卡多·霍约斯', '约翰·奥提兹', '格林·特鲁曼', '兰·卡琉', '格蕾丝·达斯恩妮', '弗里德·杜莱尔', '蓝尼·雅各布森 ', '梅金·普莱斯', '萨钦·巴特', '蒂姆·马丁·格里森', '安东尼奥·查丽蒂', '艾德文·霍德吉', '拉斯·斯兰德', '迪伦·奥布莱恩', '彼特·库伦', '安吉拉·贝塞特', '贾斯汀·塞洛克斯', '大卫·索博洛夫', '格蕾·德丽斯勒', '史蒂夫·布卢姆', '安德鲁·莫尔加多', '威廉·W·巴伯', '罗伯特·切斯纳特', '米歇尔·毛', '克里斯蒂安·哈切森', '里克·理查森', '瓦内萨·罗斯', '波士顿·拉什·弗里曼', '托尼·托斯特', '迪娜·特鲁迪', '艾蒂安·维克']","['动作', '科幻', '冒险']","['美国', '中国大陆']",['英语'],114
86,金刚川,2020-10-23,112697,36.991623,8,6.5,304134,"['管虎', '郭帆', '路阳']","['张译', '吴京', '李九霄', '魏晨', '邓超', '欧豪', '邱天', '周思羽', '刘显达', '石昊正']","['剧情', '战争']",['中国大陆'],"['汉语普通话', '英语']",122
87,极限特工：终极回归,2017-02-10,112517,36.20821,23,5.6,110988,['D·J·卡卢索'],"['范·迪塞尔', '甄子丹', '迪皮卡·帕度柯妮', '吴亦凡', '鲁比·罗丝', '塞缪尔·杰克逊', '妮娜·杜波夫', '托尼·贾', '托妮·科莱特', '赫敏·科菲尔德', '阿尔·萨皮恩扎', '艾斯·库珀', '内马尔', '罗伊·麦克凯恩', '迈克尔·比斯平']","['动作', '冒险']",['美国'],['英语'],107
88,误杀2,2021-12-17,112143,39.25772,9,5.7,343872,['戴墨'],"['肖央', '任达华', '文咏珊', '陈雨锶', '宋洋', '李治廷', '张世', '尹子维', '姜皓文', '陈昊', '周楚濋', '王昊泽', '强巴才丹']","['剧情', '犯罪']",['中国大陆'],['汉语普通话'],118
89,澳门风云3,2016-02-08,111640,35.636642,36,4.4,145622,"['王晶', '刘伟强']","['周润发', '刘德华', '张家辉', '张学友', '余文乐', '李宇春', '刘嘉玲', '王诗龄', '向佐', '胡然', '元秋', '鸟叔', '童飞', '罗家英', '卢海鹏']","['喜剧', '动作']","['中国香港', '中国大陆']","['汉语普通话', '粤语']",112
