,电影名,上映日期,票房(万元),平均票价,场均人数,豆瓣评分,豆瓣评论数,导演,演员,类型,地区,语言,时长
153,美国队长2,2014-04-04,71898,39.05371,29,8.0,430720,"['安东尼·罗素', '乔·罗素']","['克里斯·埃文斯', '斯嘉丽·约翰逊', '塞巴斯蒂安·斯坦', '安东尼·麦凯', '海莉·阿特维尔', '艾米丽·万凯普', '罗伯特·雷德福', '塞缪尔·杰克逊', '寇碧·史莫德斯', '卡兰·马尔韦', '弗兰克·格里罗', '斯坦·李', '托比·琼斯', '珍妮·艾加特', '乔治·圣皮埃尔', '盖瑞·山德林', '阿兰·戴尔', '黄经汉', '阿德托库姆布斯·麦克马克', '多米尼克·瑞恩斯']","['动作', '科幻', '冒险']",['美国'],"['英语', '法语']",136
154,熊出没·原始时代,2019-02-05,71740,39.035553,22,6.6,23207,"['丁亮', '林汇达']","['张伟', '张秉君', '谭笑', '宋祖儿', '刘思奇', '万丹青', '刘沛', '孟雨田', '张韶涵']","['喜剧', '动画', '冒险']",['中国大陆'],['汉语普通话'],92
155,私人订制,2013-12-19,71347,35.469856,30,5.9,322791,['冯小刚'],"['葛优', '白百何', '李小璐', '郑恺', '范伟', '宋丹丹', '李诚儒', '苗圃', '杜家毅', '梁天', '李咏', '关晓彤', '曹炳琨', '成龙', '王宝强']",['喜剧'],['中国大陆'],['汉语普通话'],118
156,神探大战,2022-07-08,71210,37.89408,8,6.7,281088,['韦家辉'],"['刘青云', '蔡卓妍', '林峯', '李若彤', '谭凯', '陈家乐', '汤怡', '何珮瑜', '吴浩康', '洪天明', '车婉婉', '斌子', '李菁', '马志威', '杨天宇', '胡子彤', '朱鉴然', '马睿瀚']","['动作', '悬疑', '犯罪']","['中国香港', '中国大陆']","['汉语普通话', '粤语']",101
157,猩球崛起2：黎明之战,2014-08-29,70732,36.77872,28,7.7,293689,['马特·里夫斯'],"['安迪·瑟金斯', '杰森·克拉克', '加里·奥德曼', '凯丽·拉塞尔', '托比·凯贝尔', '柯蒂·斯密特-麦菲', '柯克·埃斯沃多', '尼克·瑟斯顿', '泰瑞·诺塔里', '卡琳·考诺娃', '朱迪·格雷尔', '乔恩·阿兹', '恩里克·穆西安诺', '拉勒米·道克·肖', '李·罗斯']","['剧情', '动作', '科幻']",['美国'],"['英语', '美国手语']",130
158,使徒行者2：谍影行动,2019-08-07,70228,36.29202,17,6.2,187100,['文伟鸿'],"['张家辉', '古天乐', '吴镇宇', '姜珮瑶', '张亦驰', '刘宇宁', '黄志忠', '蔡洁', '马德钟', '袁伟豪', '陈山聪', '王君馨', '张宝儿', '江嘉敏', '李忠希', '刘楚恬', '欧瑞伟', '郑启泰', '黄祥兴', '徐荣', '林伟', '吴瑞庭', '卫志豪', '黎振烨', '汤洛雯', '许绍雄', '关婉珊']","['剧情', '动作', '犯罪']","['中国大陆', '中国香港']","['粤语', '汉语普通话']",98
159,画皮2,2012-06-28,70202,41.05247,37,6.1,262582,['乌尔善'],"['周迅', '赵薇 Wei Zhao', '陈坤', '冯绍峰', '杨幂', '费翔', '陈廷嘉', '鲁诺']","['剧情', '爱情', '惊悚', '奇幻']","['中国大陆', '中国香港']",['汉语普通话'],135
160,狼图腾,2015-02-19,70075,39.397194,34,6.9,192197,['让-雅克·阿诺'],"['冯绍峰', '窦骁', '昂哈妮玛', '巴森', '尹铸胜', '黄小蕾']","['剧情', '冒险']","['中国大陆', '法国']","['汉语普通话', '蒙古语']",121
161,铁道飞虎,2016-12-23,69929,36.7024,18,5.1,89297,['丁晟'],"['成龙', '黄子韬', '王凯', '王大陆', '徐帆', '刘德华', '张蓝心', '吴永伦', '桑平', '房祖名', '池内博之', '那威', '何沄伟', '耿长军', '浩歌', '张艺上', '高木贞佑']","['喜剧', '动作']",['中国大陆'],"['汉语普通话', '日语']",124
162,悟空传,2017-07-13,69685,35.916782,17,5.1,226385,['郭子健'],"['彭于晏', '倪妮', '余文乐', '俞飞鸿', '欧豪', '乔杉', '杨迪', '巴音', '王德顺', '李尚恩', '张承阳']","['剧情', '动作', '奇幻']",['中国大陆'],['汉语普通话'],123
163,爸爸去哪儿,2014-01-31,69652,31.801163,40,5.8,88577,"['谢涤葵', '林妍']","['林志颖', '小小志', '王岳伦', '王诗龄', '张亮', '张悦轩', '田亮', '田雨橙', '郭涛', '郭子睿', '李锐', '何炅']","['喜剧', '家庭', '儿童']",['中国大陆'],['汉语普通话'],95
164,环太平洋,2013-07-31,69540,40.411037,38,7.7,456079,['吉尔莫·德尔·托罗'],"['查理·汉纳姆', '菊地凛子', '伊德里斯·艾尔巴', '查理·戴', '朗·普尔曼', '罗伯特·卡辛斯基', '马克斯·马蒂尼', '伯恩·戈曼', '小克利夫顿·克林斯', '芦田爱菜', '迪亚哥·克莱特霍夫', '希瑟·多克森', '罗伯特·梅耶', '刘智福', '刘智满', '刘智堂']","['动作', '科幻', '冒险']",['美国'],"['英语', '日语', '粤语', '汉语普通话', '俄语']",131
165,正义联盟,2017-11-17,69058,35.48468,13,8.1,301445,['扎克·施奈德'],"['本·阿弗莱克', '亨利·卡维尔', '盖尔·加朵', '杰森·莫玛', '埃兹拉·米勒', '雷·费舍尔', '艾米·亚当斯', '威廉·达福', '杰西·艾森伯格', '杰瑞米·艾恩斯', '戴安·琳恩', '康妮·尼尔森', 'J·K·西蒙斯', '塞伦·希德', '郑恺', '安柏·赫德', '乔·莫顿', '丽莎·洛文·孔斯利', '大卫·休里斯', '安·奥戈博莫', '奥古斯塔·艾娃·艾伦德斯杜提尔', '克里斯特比约格·凯尔德', '英格瓦·埃盖特·西古德松', '马克·麦克卢尔', '迈克尔·麦克埃尔哈顿', '约翰·达格尔什', '拉腊·德坎罗', '罗比·基', '吉姆·斯图格恩', '杜晨·科洛斯', '埃莉诺·松浦', '萨曼莎·乔', '布鲁克·恩斯', '杰罗姆·普拉顿', '理查德·克里弗特', '文森特·里奥特', '马克·阿诺德', '彼得·吉尼斯', '赛吉·康斯坦斯', '奥萝尔·劳泽瑞尔', '朱利安·刘易斯·琼斯', '雷·波特', '弗朗西斯·麦基', '科雷西·克莱门斯', '露西·布莱尔斯', '威尔·柯班', '凯伦·布莱森', '克里斯蒂·梅尔', '吉安皮罗·科格诺利', '寇布勒·霍尔德布鲁克-史密斯', '凯文·马图林', '泰勒·詹姆斯', '布鲁斯·钟', '奥赖恩·李', '奥利弗·加茨', '凯莉·波尔克', '奥利弗·鲍威尔', '哈里·列尼斯', '欧米·罗斯', '萨姆·本杰明', '卡拉·古奇诺', '罗素·克劳', '扎克·施奈德']","['动作', '科幻', '奇幻', '冒险']",['美国'],['英语'],242
166,银河护卫队2,2017-05-05,68615,37.273075,17,8.0,441205,['詹姆斯·古恩'],"['克里斯·帕拉特', '佐伊·索尔达娜', '戴夫·巴蒂斯塔', '范·迪塞尔', '布莱德利·库珀', '凯伦·吉兰', '迈克尔·鲁克', '庞·克莱门捷夫', '伊丽莎白·德比茨基', '肖恩·古恩', '库尔特·拉塞尔', '克里斯·沙利文', '大卫·哈塞尔霍夫', '西尔维斯特·史泰龙', '杨紫琼']","['动作', '科幻', '冒险']",['美国'],['英语'],136
167,宠爱,2019-12-31,68364,34.891582,9,5.9,248500,['杨子'],"['于和伟', '吴磊', '张子枫', '钟汉良', '杨子姗', '陈伟霆', '钟楚曦', '檀健次', '阚清子', '郭麒麟', '李兰迪', '郎月婷', '李倩', '龚蓓苾', '余皑磊', '王紫逸']","['剧情', '喜剧', '爱情']",['中国大陆'],['汉语普通话'],108
168,九层妖塔,2015-09-30,68132,34.347466,30,4.4,190495,['陆川'],"['赵又廷', '姚晨', '凤小岳', '李晨', '唐嫣', '冯瓅', '李光洁', '王庆祥', '吴军', '王德顺']","['动作', '惊悚', '冒险']",['中国大陆'],['汉语普通话'],115
169,明日战记,2022-08-05,67942,41.25811,7,6.1,126212,['吴炫辉'],"['古天乐', '刘青云', '刘嘉玲', '姜皓文', '谢君豪', '吴倩', '万国鹏', '张家辉', '刘浩良', '赫子铭']","['动作', '科幻']","['中国香港', '中国大陆']","['汉语普通话', '粤语']",99
170,寒战2,2016-07-08,67661,36.547977,27,7.1,252555,"['梁乐民', '陆剑青']","['郭富城', '梁家辉', '杨采妮', '彭于晏', '李治廷', '文咏珊', '周润发', '马伊琍', '杨祐宁', '张国柱', '吴樾', '周笔畅', '李子雄', '骆应钧', '林文龙']","['剧情', '动作', '犯罪']","['中国大陆', '中国香港']","['汉语普通话', '粤语']",110
171,碟中谍4,2012-01-28,67211,35.086987,43,8.4,418425,['布拉德·伯德'],"['汤姆·克鲁斯', '杰瑞米·雷纳', '西蒙·佩吉', '宝拉·巴顿', '蕾雅·赛杜', '迈克尔·恩奎斯特', '弗拉基米尔·马什科夫', '萨穆里·埃德尔曼', '伊万·舍甫多夫', '亚尼·卡普', '乔什·哈洛威', '帕维尔·克里兹', '米拉吉·格尔比克', '伊利亚·沃里克', '戈兰·纳沃耶克', '拉迪斯拉夫·伯兰', 'Tomás Valík', '兰迪·霍尔', '维塔利·克拉夫琴科', '麦克·多普德', '马丁·哈伯', 'Ivo Novák', 'Marek Dobes', '克劳迪娅·瓦西科娃', '布莱恩·卡斯佩', '佩特拉·卢斯提戈瓦', '艾普尔·斯图瓦特', '安德雷斯·魏斯涅夫斯基', '迪米特里·柴波维特斯基', '道恩·楚拜', '凯斯·达拉斯', 'Tammy Hui', '大卫·斯图尔特', 'Sabrina Morris', '杰西卡·贝尔金', '斯蒂芬·罗波', '米歇尔·莫纳汉', '阿里·奥洛米', '文·瑞姆斯', '米哈利·绍鲍多什', '汤姆·威尔金森']","['动作', '惊悚', '冒险']",['美国'],"['英语', '俄语', '法语', '阿拉伯语', '瑞典语']",133
172,蚁人,2015-10-16,67035,36.10703,22,6.1,55108,['佩顿·里德'],"['保罗·路德', '伊万杰琳·莉莉', '迈克尔·道格拉斯', '米歇尔·菲佛', '乔纳森·梅杰斯', '凯瑟琳·纽顿', '比尔·默瑞', '凯蒂·M·奥布莱恩', '威廉·杰克森·哈珀', '詹姆斯·卡特勒', '大卫·达斯马齐连', '兰道尔·朴', '马克·温曼', '罗斯·穆兰', '汤姆·克拉克', '格雷厄姆·福克斯', '布拉姆德奥·香农·拉玛那', '拉塞尔·巴洛格', '莱昂纳多·泰沃', '帕特里夏·贝尔彻', '马克·埃弗雷特', '鲁本·拉巴萨', '尼尔·汉博格', '塞拉·卡托', '玛丽埃尔·斯科特', '戴·扬', '埃伦海兹', '罗杰·克莱格·史密斯', '汤姆·夏普林', '戴维·贝尔图奇', 'Tianyi Kiy', '寇瑞·斯托尔', '迈克·伍德']","['喜剧', '动作', '科幻', '冒险']",['美国'],['英语'],125
173,摩天营救,2018-07-20,66981,35.184887,18,6.3,166011,['罗森·马歇尔·瑟伯'],"['道恩·强森', '内芙·坎贝尔', '黄经汉', '罗兰·默勒', '诺亚·泰勒', '文峰', '巴勃罗·施瑞博尔', '麦肯纳·罗伯茨', '诺亚·科特雷尔', '昆凌', '艾德里安·霍姆斯', '陆颖颐', '凯文·兰金', '杰特·克莱恩', '拜伦·劳森', '瑞安·汉德利', '布莱恩·何', '黄仁勋', '柯林·科里根', '维努斯·特雷佐', '保罗·麦克吉莱恩', '马特·欧莱瑞', '马泰', '卡洛·余', '王云菲', '吴嘉星', '法比欧·塔索恩', '拉桑德拉·吉布森', 'Vivian Full', '安德烈·胡勒斯', '索姆·卡皮拉', '比特里斯·金', '关永扬']","['动作', '惊悚', '冒险']","['中国香港', '美国']","['英语', '粤语', '汉语普通话']",102
174,分手大师,2014-06-27,66509,33.37043,34,5.1,329605,"['俞白眉', '邓超']","['邓超', '杨幂', '古力娜扎', '栾元晖', '秦越', '许可嘉', '梁超', '赵曼竹', '孙俪', '柳岩', '谢楠']","['喜剧', '爱情']",['中国大陆'],"['汉语普通话', '克里奥尔语', '英语', '日语', '上海话']",116
175,黑豹,2018-03-09,66260,36.06936,17,5.4,89270,['瑞恩·库格勒'],"['利蒂希娅·赖特', '露皮塔·尼永奥', '丹娜·奎里拉', '温斯顿·杜克', '安吉拉·贝塞特', '特诺切·韦尔塔', '马丁·弗瑞曼', '茱莉亚·路易斯-德瑞弗斯', '多米尼克·索恩', '特雷弗·诺亚', '弗洛伦丝·卡松巴', '米凯拉·科尔', '亚历克斯·利维纳利', '梅布尔·卡德纳', '玛丽亚·梅塞德斯·科罗伊', '迈克尔·B·乔丹', '蕾克·贝尔', '罗伯特·约翰·伯克', '迪瓦因·乐福·科纳杜-桑', '安德森·库珀', '伊尔玛-埃斯蒂尔·拉盖尔', '伊萨赫·德·班克尔', '丹尼·萨帕尼', '索佩·阿卢科', '佐拉·威廉姆斯', '玛丽嘉·朱丽叶·阿布妮', '巴阿巴·毛尔', '理查德·希夫', '洁基·伯明翰', '迈克尔·布莱克·克鲁斯', '卡马努·乌斯曼', '小弗洛伊德·安东尼·约翰', '杰梅因·布兰特利', '玛丽亚·特隆', '索尔·洛佩斯', '胡安·卡洛斯·坎图', '多隆·贝尔', '贾迈尔·钱伯斯']","['剧情', '动作', '科幻', '惊悚', '奇幻', '冒险']",['美国'],"['英语', '科萨语', '玛雅语', '法语']",161
176,情圣,2016-12-30,65790,31.282188,18,6.0,163502,"['宋晓飞', '董旭']","['肖央', '闫妮', '小沈阳', '乔杉', '艾伦', '代乐乐', '常远', '克拉拉', '车晓', '田雨', '邓超', '王迅', '周晓鸥', '赵英俊', '岳小军', '徐冬冬', '杨成成', '钟鹿纯', '曹汉超']",['喜剧'],['中国大陆'],['汉语普通话'],116
177,唐山大地震,2010-07-22,65000,37.08052,63,7.8,441193,['冯小刚'],"['徐帆', '张静初', '李晨', '陈道明', '张子枫', '张家骏', '王子文', '陈瑾', '陆毅', '张国强', '杨立新', '吕中', '咏梅', '刘莉莉', '马秋子']","['剧情', '历史', '灾难']","['中国大陆', '中国香港']","['汉语普通话', '唐山话']",139
178,恶棍天使,2015-12-24,64854,29.965164,40,4.4,170983,"['俞白眉', '邓超']","['邓超', '孙俪', '代乐乐', '梁超', '杨新鸣', '王砚辉', '许可嘉', '赵曼竹', '栾元晖', '张鹭', '王双宝']",['喜剧'],['中国大陆'],['汉语普通话'],124
179,来电狂响,2018-12-28,64139,34.942345,14,5.7,282174,['于淼'],"['佟大为', '马丽', '霍思燕', '乔杉', '田雨', '代乐乐', '奚梦瑶', '艾伦', '张晨光', '杨玏', '克拉拉', '许娣', '李萍', '张帆', '徐冬冬', '何泓姗', '姜来', '刘家祎', '杜江', '钟鹿纯', '丁龙儿', '丁歌', '韩昕妤', '耿杨', '李柄熹', '刘润男', '贝镜水', '李伟', '赵宇涵', '马嘉璐', '津玮', 'Aleksandr', '毕大勋', '刘剑', '常诚', 'Natalya', '李恬洁', '贝乐乐']","['剧情', '喜剧']",['中国大陆'],['汉语普通话'],103
180,大侦探皮卡丘,2019-05-10,64070,35.44802,10,6.4,373366,['罗伯·莱特曼'],"['瑞安·雷诺兹', '贾斯蒂斯·史密斯', '凯瑟琳·纽顿', '克里斯·吉尔', '比尔·奈伊', '渡边谦', '瑞塔·奥拉', '苏琪·沃特豪斯', '卡兰·索尼', '普莉安卡·伯福德', '乔丹·朗', '贝恩·科拉科', '卡迪夫·克尔万', '奥马尔·查帕罗', '伯纳多·桑托斯', '大谷育江', '露丝·霍洛克斯', '丹尼尔·厄根', '贾格·帕特尔', '查利·蕾娅·埃斯奎尔', '黛博拉·洛克', '所罗门·塔伊沃·贾斯提费尔德', '尼克·欧文福特', '凯文·马塔迪恩', '迪柏洛', '竹内凉真']","['喜剧', '动画', '奇幻', '冒险']","['美国', '日本', '英国', '加拿大']",['英语'],104
181,惊天魔盗团2,2016-06-24,63771,33.112507,27,6.9,301792,['朱浩伟'],"['杰西·艾森伯格', '马克·鲁弗洛', '伍迪·哈里森', '戴夫·弗兰科', '丹尼尔·雷德克里夫', '丽兹·卡潘', '周杰伦', '桑娜·莱瑟', '迈克尔·凯恩', '摩根·弗里曼', '大卫·沃肖夫斯基', '周采芹', '理查德·莱恩', '亨利·劳埃德-休斯']","['剧情', '悬疑', '犯罪']",['美国'],"['英语', '汉语普通话', '粤语']",130
182,让子弹飞,2010-12-16,63675,39.43557,49,9.0,1649975,['姜文'],"['姜文', '葛优', '周润发', '刘嘉玲', '陈坤', '张默', '姜武', '周韵', '廖凡', '姚橹', '邵兵', '苗圃', '冯小刚', '胡军', '马珂', '白冰', '杜奕衡', '李静', '胡明', '危笑', '杨奇雨', '赵铭']","['剧情', '喜剧', '动作', '西部']","['中国大陆', '中国香港']","['汉语普通话', '四川话', '山西话']",132
183,环太平洋：雷霆再起,2018-03-23,63323,35.434902,13,5.4,237773,['斯蒂文·S·迪奈特'],"['约翰·博耶加', '卡莉·史派妮', '斯科特·伊斯特伍德', '景甜', '伯恩·戈曼', '查理·戴', '阿德里娅·阿霍纳', '张晋', '菊地凛子', '卡兰·布拉尔', '黄恺杰', '伊万娜·萨赫诺', '新田真剑佑', '吉丽', '雪莉·罗德里格斯', '拉哈特·亚当斯', '列维·米登', '达斯汀·克莱尔', '陈梓童', '于谨维', '钱泳辰', '齐柏林·汉密尔顿', '郭家铭', '蓝盈莹', '尼克·塔拉贝', '沙恩·朗吉', '戴杰', '尼克·萨特里亚诺', '丹尼尔·弗雷里格尔', '金桢勋', '菊池润美', '玛德琳·麦格劳', '乔什·斯坦伯', '斯蒂芬妮·阿琳', '卢克·朱迪', '布里德基·萨蒂纳', '小蒂姆·约翰逊', '埃里克·阿达尔', 'Nancy Nugent', '萨曼莎·吉恩', '玛丽莎·拉蒙尼卡', '罗伯特·梅耶', 'Marco Sinigaglia', '安吉·特里克']","['动作', '科幻', '冒险']","['英国', '中国大陆', '日本', '美国', '墨西哥']","['英语', '汉语普通话', '俄语']",111
184,影,2018-09-30,62899,35.800556,14,7.2,573067,['张艺谋'],"['邓超', '孙俪', '郑恺', '王千源', '王景春', '胡军', '关晓彤', '吴磊', '封柏']","['剧情', '动作', '武侠', '古装']","['中国大陆', '中国香港']",['汉语普通话'],116
185,反贪风暴5：最终章,2021-12-31,62893,40.75184,9,4.6,94356,['林德禄 '],"['古天乐', '张智霖', '郑嘉颖', '宣萱', '黄宗泽', '谢天华', '张继聪', '叶晞月']","['动作', '犯罪']","['中国香港', '中国大陆']","['粤语', '汉语普通话']",95
186,后会无期,2014-07-24,62875,31.956974,34,7.2,597971,['韩寒'],"['冯绍峰', '陈柏霖', '钟汉良', '王珞丹', '袁泉', '陈乔恩', '贾樟柯', '白客', '孔连顺', '高华阳']",['剧情'],['中国大陆'],"['汉语普通话', '手语', '粤语']",104
187,末日崩塌,2015-06-02,62858,37.411068,24,7.0,163156,['布拉德·佩顿'],"['道恩·强森', '亚历珊德拉·达达里奥', '卡拉·古奇诺', '雨果·约翰斯通-伯特', '雅奇·潘嘉比', '科尔顿·海恩斯', '艾恩·格拉法德', '保罗·吉亚玛提', '凯莉·米洛', '李威尹', '瓦内萨·罗斯', '马特·杰拉德', '阿特·帕金森', '罗宾·阿特金·唐斯', '艾伦·D·柏温', '亚历克·乌特戈夫', '摩根·格莉芬', '杰米斯·巴特勒', '艾伦·波普尔顿']","['动作', '冒险', '灾难']","['美国', '澳大利亚']",['英语'],114
188,新喜剧之王,2019-02-05,62752,42.586273,24,5.7,395818,"['周星驰', '邱礼涛']","['王宝强', '鄂靖文', '张全蛋', '景如洋', '张琪', '袁兴哲', '田启文', '黄骁鹏', '蔡哲睿', '苗溢伦']","['剧情', '喜剧']","['中国大陆', '中国香港']","['汉语普通话', '粤语']",91
189,新木乃伊,2017-06-09,62563,35.19523,16,4.8,127154,['艾里克斯·库兹曼'],"['汤姆·克鲁斯', '罗素·克劳', '安娜贝拉·沃丽丝', '索菲亚·波多拉', '杰克·约翰逊', '考特尼·万斯', '马尔万·肯扎里', '斯蒂芬·汤普森', '詹姆斯·阿拉马', '马修·威尔卡斯', '索姆·卡皮拉', '肖恩·卡梅伦·迈克尔', '雷兹·肯普顿', '尼尔·马斯克尔', '哈维尔·博泰特', '帕克·索耶']","['动作', '奇幻', '冒险']","['美国', '中国大陆', '日本']","['英语', '古埃及语']",110
190,蝙蝠侠大战超人：正义黎明,2016-03-25,61826,35.59753,23,6.9,282559,['扎克·施奈德'],"['本·阿弗莱克', '亨利·卡维尔', '艾米·亚当斯', '盖尔·加朵', '杰西·艾森伯格', '戴安·琳恩', '劳伦斯·菲什伯恩', '杰瑞米·艾恩斯', '霍利·亨特', '斯科特·麦克纳里', '卡兰·马尔韦', '冈本多绪', '布兰登·斯平克', '劳伦·科汉', '迈克尔·珊农']","['动作', '科幻', '奇幻', '冒险']",['美国'],"['英语', '西班牙语', '俄语']",151
191,失控玩家,2021-08-27,61257,38.86088,7,7.5,657497,['肖恩·利维'],"['瑞安·雷诺兹', '朱迪·科默', '乔·基瑞', '里尔·莱尔·哈瓦瑞', '塔伊加·维迪提', '乌特卡什·安邦德卡尔', '查宁·塔图姆', '休·杰克曼', '道恩·强森', '克里斯·埃文斯', '约翰·卡拉辛斯基', '蒂娜·菲', '卡米尔·科斯塔克', '布丽特妮·欧德福特', '肯尼斯·以色列', '亚历克斯·崔贝克', '劳拉·斯宾塞', '马修·卡德罗普', '迈克尔·陶', '野村祐人', 'Raj Jawa', '何塞·冈斯·阿尔维斯', '欧文·伯克', '加布里埃尔·洛莱斯', '雷吉纳·托芬', '珍妮尔·费格利', '泰特·弗莱彻', '香农·哈特曼', '金伯利·豪威', 'Mark Lainer', 'Mike Devine', '亚伦·W·里德', 'Sophie Levy', 'Vernon Scott', 'Naheem Garcia']","['喜剧', '动作', '科幻']","['美国', '加拿大']",['英语'],115
192,功夫熊猫2,2011-05-28,61175,37.799377,42,8.0,429793,['吕寅荣'],"['杰克·布莱克', '安吉丽娜·朱莉', '达斯汀·霍夫曼', '加里·奥德曼', '成龙', '塞斯·罗根', '刘玉玲', '大卫·克罗斯', '吴汉章', '杨紫琼', '丹尼·麦克布莱德', '丹尼斯·海斯伯特', '尚格·云顿', '维克多·加博', '迈克·贝尔', '艾普尔·洪', '亚历山德拉·戈尔德·朱尔登', '斯蒂芬·凯林', '利亚姆·奈特', '保罗·马祖斯基', '丹·奥康纳', '罗密·罗斯蒙特', '莫瑞·史特林', '弗雷德·塔特西奥', '劳伦·汤姆', '康拉德·弗农']","['喜剧', '动作', '动画', '冒险']",['美国'],['英语'],91
193,神奇女侠,2017-06-02,61014,36.301155,16,7.1,459251,['派蒂·杰金斯'],"['盖尔·加朵', '克里斯·派恩', '康妮·尼尔森', '罗宾·怀特', '大卫·休里斯', '丹尼·赫斯顿', '埃伦娜·安纳亚', '露茜·戴维斯', '萨伊德·塔格马奥', '艾文·布莱纳', '尤金·布雷弗·洛克', '莉莉·阿斯佩尔', '艾米丽·凯里', '丽莎·洛文·孔斯利', '安·奥戈博莫', '弗洛伦丝·卡松巴', '杜晨·科洛斯']","['动作', '奇幻', '冒险']","['美国', '中国大陆', '中国香港']",['英语'],141
194,狙击手,2022-02-01,60802,44.77452,7,7.7,335341,"['张艺谋', '张末']","['陈永胜', '章宇', '张译', '刘奕铁', '黄炎', '王梓屹', '陈铭杨', '王乃训', '程泓鑫', '赵琥成', '李汶聪', '林博洋', '王佑名', '代文博', '李鲲', '曹操', '柯国庆', '钱焜', '暗真', '柯南·何裴', '李凯文', '勃小龙', '孟丹青', '叶风光']","['剧情', '历史', '战争']",['中国大陆'],"['汉语普通话', '英语']",96
195,一条狗的使命,2017-03-03,60777,29.967405,15,7.7,368695,['拉斯·霍尔斯道姆'],"['乔什·加德', '布丽特·罗伯森', '丹尼斯·奎德', '佩吉·利普顿', 'K·J·阿帕', '布莱斯·吉扎尔', '朱丽叶·赖伦斯', '卢克·柯比', '加布里埃尔·罗斯', '迈克尔·博夫舍维尔', '洛根·米勒', '柯尔比·豪威尔-巴普蒂斯特', '普奇·豪尔', '约翰·奥提兹', '妮科尔·勒普拉卡', '彼特·科拉米斯', '卡罗琳·凯芙', '简·迈克格雷格', '科维西·阿梅扬', '卡琳·博姆拜克', '娜奥米·弗伦内特']","['剧情', '喜剧', '家庭']",['美国'],['英语'],101
196,狄仁杰之四大天王,2018-07-27,60636,39.113647,18,6.1,263424,['徐克'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']","['动作', '悬疑', '奇幻', '武侠', '古装']","['中国大陆', '中国香港']",['汉语普通话'],132
197,熊出没·变形记,2018-02-16,60552,35.826714,29,6.8,19805,"['丁亮', '林汇达']","['张伟', '张秉君', '谭笑']","['喜剧', '动画', '冒险']",['中国大陆'],['汉语普通话'],89
198,使徒行者,2016-08-11,60538,29.397415,24,6.9,202181,['文伟鸿'],"['张家辉', '古天乐', '吴镇宇', '佘诗曼', '许绍雄', '黄祥兴', '朱璇', '梁琤', '李光洁', '张慧雯']","['剧情', '动作', '犯罪']","['中国大陆', '中国香港']","['粤语', '汉语普通话']",109
199,李茶的姑妈,2018-09-30,60438,34.69147,15,4.6,315076,['吴昱翰'],"['黄才伦', '艾伦', '宋阳', '卢靖姗', '沈腾', '韩彦博', '陈冰', '张镨冉', '王宇', '赵雪', '常远', '王成思', '张琛', '魏玮', '陶亮', '朱微玮', '芦莹', '李海银', '何子君', '高海宝', '刘坤', '钱晨光', '乌日塔', '杨洁', '向斐', '何孟卓', '王野苓', '喜子', '张琳']",['喜剧'],['中国大陆'],['汉语普通话'],113
200,狄仁杰之神都龙王,2013-09-28,60059,40.039875,30,6.5,214128,['徐克'],"['赵又廷', '冯绍峰', '林更新', '金汎', '杨颖', '刘嘉玲', '胡东', '马京京', '盛鉴', '林朝绪', '陈坤', '言杰', '汪汐潮', '陈国义', '呈让', '张山', '铁男']","['动作', '悬疑', '古装']","['中国大陆', '中国香港']",['汉语普通话'],133
201,银河护卫队,2014-10-10,59640,38.5918,23,8.1,491960,['詹姆斯·古恩'],"['克里斯·帕拉特', '佐伊·索尔达娜', '布莱德利·库珀', '范·迪塞尔', '戴夫·巴蒂斯塔', '李·佩斯', '迈克尔·鲁克', '凯伦·吉兰', '杰曼·翰苏', '本尼西奥·德尔·托罗', '约翰·C·赖利', '格伦·克洛斯', '劳拉·哈德克', '肖恩·古恩', '彼得·塞拉菲诺威茨', '埃米特·斯坎伦', '奥菲利亚·拉维邦德']","['动作', '科幻', '冒险']","['美国', '英国']","['英语', '萨卡语']",121
202,熊出没·狂野大陆,2021-02-12,59529,43.313347,18,6.2,25555,"['丁亮', '邵和麒']","['张伟', '张秉君', '谭笑']","['喜剧', '科幻', '动画']",['中国大陆'],['汉语普通话'],99
203,金陵十三钗,2011-12-15,59214,41.266125,40,8.3,686348,['张艺谋'],"['克里斯蒂安·贝尔', '倪妮', '张歆怡', '黄天元', '韩熙庭', '张逗逗', '佟大为', '曹可凡', '渡部笃郎', '黄海波', '窦骁', '聂远', '高虎', '秦昊', '李玥敏', '白雪', '袁杨纯子', '孙佳', '朱良奇', '小林成男', '山中崇', '保罗·施耐德', '李纯', '顾璇', '周梦乔', '周羽', '邓莉', '苏小妹', '钱柳吟', '叶清源', '戴瑶君', '沈俊然', '李楚楚', '金子欣', '李瑞琦', '谷艺璇', '许佳丽', '张照怡', '王靖雯', '谭逸敏', '赵伊聪', '来喜', '奇道', '王超北', '王羽铮', '李飞', '王聪', '项斌', '郭晓明', '涩谷天马', '梶冈润一']","['剧情', '历史', '战争']","['中国大陆', '中国香港']","['汉语普通话', '英语', '日语', '南京话', '上海话']",145
